>>L<<Russian	>>L<<English
Накидка Герскила	Herskil's Cloak
Накидка егеря	Hunter's Cloak
Накидка Единорога	Unicorn Cape
Накидка Маршала	Marshall's Cape
Наллиннэй	Nallinnae
Нальк	Nalke
Нанять героя	Hire Hero
Нанять стража (Q)	Hire Guard (Q)
Нанять/воскресить героя (F)	Hire or Resurrect Hero (F)
Написать послание	Write Message
Нарукавники посланника	Emissary's Sleeves
Наруч Воителя	Fighter's Bracers
Наруч Гладиатора	Gladiator's Bracers
Наруч Гор	Mountain Bracers
Наруч Краба	Crab Bracers
Наруч Мародера	Marauder's Bracers
Наруч Могущества	Bracers of Might
Наруч Убийцы	Assassin's Bracers
Наруч Черепахи	Turtle Bracers
Наручи Гарроса	Garros's Bracer
Наручи Дариола	Dariol's Bracer
Наручи экзекутора	Executioner's Bracer
Наруч-компас	Bracer-Compass
Населённость	Population
Населяющая провинцию раса	Province Race
Настроение жителей	Population Mood
Настроение	Mood
Настройки боя (O)	Combat Settings (O)
Настройки карты	Map Settings
Настройки по умолчанию	Default Settings
Настройки создаваемого мира	World Creation Settings
Настройки	Settings
Насылает болезнь	Cause Disease
Насылает уязвимость	Cause Vulnerability
Начать битву (E)	Start Battle (E)
Начинающий	Beginner
Нашествие демонов  	Demon Invasion
Не выполнено	Not Completed
Не выполнены условия	Conditions not met
Не двигается	Immobilized
Не обнаружен	Not found
Не перемещается	Immobilization
Не сражается	Does not fight
Не требует ремонта	Repair not required
Не хватает средств	Insufficient means
Не чувствует боли	Feels No Pain
Небесная стража 	Heavenly Guards
Небесная стража	Heavenly Guards
Небесный гром	Celestial Thunder
Небесный свет	Heavenly Light
Небесный щит	Celestial Shield
Небольшое поселение	Hamlet
Небольшой город	Large Town
Небольшой	Small
Невозможно!	Impossible!
Невредима	Intact
Недовольны	Discontent
Недовольство	Unrest
Недоступно для строительства	Unavailable for building
Нежить	Undead
Неизвестные земли	Unknown Lands
Неизвестный	Unknown
Нейтральный	Neutral
Некромант	Necromancer
Некромантия	Necromancy
Некроманты	Necromancers
Некрополь	Necropolis
Нельзя строить на этом ходу	Can't build this turn
Немного	Not much
Необходимые постройки	Required Buildings
Несколько героев	Several Heroes
Несколько игроков	Several Players
Несокрушимая кираса	Indestructible Cuirass
нест	nest
Нестурс	Nesturs
Несущая Смерть	Death Bringer
Нет жителей	No Population
Нет охраны	No Defenders
Нет послания	No Message
Нет постройки	No Building
Нет торгового договора	No Trade Agreement
Нет укреплений	No Fortifications
Нет	No
Неуловимый страж	Elusive Sentinel
Неупокоенные	Walking Dead
Неупокоенный	Walking Dead
Неустрашимость	Intrepid
Неутомимость	Tireless
Неуязвимость	Invulnerable
Нечестивое слово	Unholy Word
Низколетающий	Floating
Низкотравье	Lowgrass
Никоверье	Nicofaith
Нинтор	Nynthor
Ничтожные	Worthless
НИЧЬЯ	DRAW
Новая профессия	New Profession
Новая	New
Новобранцы	Recruits
Новые Ворота	New Gates
Новые земли	New Land
Новый игрок	New Player
Новый осколок	New Shard
Нога Вирта	Wirt's leg
нод	nod
Нож Некроманта	Necromancer's Knife
Нож	Knife
Норки	Burrows
Норково поле	Burrowfield
Норхадд	Norchadd
Ночная Тень	Night Shadow
Нужны ресурсы	Resources needed
нэд	nad
Обездвижен	Immobilized
Обездвиживание	Immobilization
Оберег завершён на	Talisman Completion at
Обеспечение	Logistics
Обессиливание	Feebleness
Обитатели болот	Swamp Dwellers
Облако тьмы	Cloud of Darkness
Облако Ужаса	Cloud of Terror
Облачение Дариола	Dariol's Vestment
Облачение Иллюзий	Vestment of Illusion
Облачение Носферату	Nospheratu's Vestement
Облачная долина	Cloudy Valley
Облачные холмы	Cloudy Hills
Обломки	Rubble
Обмен с другим героем (F)	Exchange with Another Hero (F)
Обмен	Barter
Обойдёмся без диверсий.	Let's do this without sabotage.
Обратить в драйдера	Drider Transformation
Обращение в жреца	Cleric Transformation
Обращение в скелета	Skeleton Transformation
Обращение в чёрта	Fiend Transformation
Обсидиановый наруч	Obsidian Bracers
Обувь	Feet
Обучение	Tutorial
Магическая атака	Mass Attack
Общая болезнь	Mass Disease
Общая защита	Mass Defense
Общая огнеупорность	Mass Fire Immunity
Общая перезарядка	Mass Reload
Общая хладоустойчивость	Mass Cold Immunity
Общая ярость	Mass Rage
Общее благословение	Mass Bless
Общее замедление	Mass Slow
Общее лечение	Mass Healing
Общее проклятие	Mass Curse
Общее снятие чар	Mass Dispel
Общее ускорение	Mass Haste
Общий сон	Mass Sleep
Объявить войну	Declare War
Объятия Тьмы	Embrace of Darkness
Обычные стрелы	Common Arrows
Обычные	Common
Обычный	Common
Овраг	Ravine
Овражий дол	Ravined Valley
Овражье	Ravineside
Оглушающий удар	Stunning Blow
Огневицы	Fierylands
Огненная буря	Firestorm
Огненная степь	Fiery Steppe
Огненные стрелы	Fire Arrows
Огненный взрыв	Fireblast
Огненный вымпел	Fire Pennant
Огненный выстрел	Fire Shot
Огненный дождь	Fire Rain
Огненный жезл	Fire Wand
Огненный клинок	Fire Blade
Огненный меч	Fire Sword
Огненный шар	Fireball
Огненный шторм	Fire Storm
Огненный щит	Fire Shield
Огородье	Croftside
Ограниченные	Limited
Огрова гряда	Ogre Ridge
Огромный	Huge
Одежда Следопыта	Ranger's Clothes
Одержимый	Posessed
Одеяние Волшебника	Wizard's Garments
Одеяние Магистра	Magister's Garment
Одеяние Оинора	Oinor's Garments
Одеяния Воплощений	Cloth of Incarnation
Один игрок	Single Player
Один компьютер	One Computer
Ожерелье Василиска	Basilisk Necklace
Ожерелье Магистра	Magister's Necklace
Ожерелье	Necklace
Озеро	Lake
Оин	Oin
Оинор	Oinor
Окаменел	Petrified
Окаменение	Petrification
ол	ol
Оленья пуща	Deer Thicket
Оли	Oli
Омут	Pool
Омуты Грёз	Dreampools
он	on
Опаляющий-Плоть	Flesh-scorcher
Оперенные стрелы	Feathered Arrows
Оплетен корнями	Entangled
Оплот Света	Temple of Light
Ополченец	Militiaman
Ополчение	Militia
Оппоненты	Opponents
Опустошение колчанов	Deplete Quivers
Опыт войскам	Army Experience
Опыт героя	Hero Experience
Опыт	Empty
Опытный	Skilled
ор	or
Оракул стихий	Oracle of Elements
Оракул	Oracle
Оргорские холмы	Orgore Hills
Орда гноллов	Gnoll horde
Орда	Horde
Орден Белого Щита	White Shield Order
Орден Великой Тьмы	Supreme Dark Order
Орден Величия	Order of Grandeur
Орден Воинов Храма	Templar Order
Орден за Волю к Победе	Will for Victory Order
Орден Защитника	Order of the Defender
Орден Победителя	Order of the Victor
Орден Снайпера	Order of the Marksman
Ореховая пуща	Hazelnut Thicket
Орк	Orc
Орки	Orcs
Орлиный перевал	Eagle Pass
Ормхолд	Ormhold
орн	orne
Оронгулл	Orongull
Орочий квартал	Orcish Quarter
Орочий остров	Orcish Island
Орочий патруль	Orcish Patrol
Орудие	Siege Engine
Оружейная	Armory
Оружие повреждено	Damaged Weapon
Орчьи всхолмья	Orcish Hillside
Осада	Siege
Осадная машина	Siege Machine
Осадные инженеры	Siege Engineers
Осадные мастерские	Siege Workshop
Осадный цех	Siegeworks
Освободить кобольда	Become Free Kobold
Освоенные земли	Dwelling
Осколков завоёвано	Shards Conquered
Ослабление	Weakness
Особая древесина	Special Timber
Особая руда	Special Ore
Особые места	Locations
Особые чернила	Special Ink
Остановка времени	Time Stop
Острая гряда	Sharp Ridge
Остров Кальмара	Squid Island
Остров Краба	Crab Island
Остров Людоедов	Ogres Island
Остров Медузы	Medusa Island
Остров Мертвеца	Deadman's Island
Остров Морской Девы	Sea Maiden Island
Остров Надежды	Island of Hope
Остров Рыбы	Fish Island
Остров Сирен	Siren Island
Остров Спасителя	Savior's Island
Остров Спрута	Octopus Island
Остров Тролля	Troll Island
Остров Ящера	Lizard Island
Остров	Island
Острова/Озёра	Islands, Lakes
Отдать предмет	Give Item
Отдыхать (пропустить ход) (R)	Rest (Skip Turn) (R)
Отказаться	Refuse
отключен	never
Открывает доступ к постройкам	Gives access to buildings
Открытый шлем	Open Helmet
Отмена	Cancel
Отменить дополнительный выстрел (D)	Cancel Double Shot (D)
Отменить задание (Q)	Cancel Orders (Q)
Отменить заклинание (ESC)	Cancel Spell (ESC)
Отменить круговую атаку (A)	Cancel Round Attack (A)
Отменить лечение (H)	Cancel Healing (H)
Отменить политическое предложение	Cancel Political Offer
Отменить послание	Cancel Message
Отменить починку предметов (R)	Cancel Item Repair (R)
Отменить сокрушающий удар (C)	Cancel Crushing Blow (C)
Отменить торговое предложение	Cancel Trade Offer
Отменить торговый договор	Cancel Trade Agreement
Отправить послание	Send Message
Отравить оружие	Poison Weapon
Отравлен	Poisoned
Отравленные стрелы	Poisoned Arrows
Отродье	Spawn
Отряд дроу	Drow squad
Отряд противника	Enemy Party
Отряд усопшего	Dead Hero's Army
Отряд	Party
Отряды героев	Armies under Heroes
Отступить	Retreat
Оумм	Oumm
Офицерское училище	Officer Academy
Охнырр-Даш	Okhnyrr-Dush
Охота на василисков	Basilisk Hunt
Охота на грифонов	Gryphon Hunt
Охота на дракона	Dragon Hunt
Охота на единорогов	Unicorn Hunt
Охота на мантикор	Manticore Hunt
Охота на пауков	Spider Hunt
Охота на слизней	Slug Hunt
Охотник за головами	Great Pack Headhunter
Охотник на ведьм	Witchhunter
Охотник на Драконов	Dragon Hunter
Охотники	Hunters
Охотничий лук	Hunting Bow
Охотничий удел	Hunter's Lot
Охотный дол	Hunter's Vale
Охрана	Defenders
Охранная Гряда	Guardian Ridge
охраняем	guarded
Очень большой	Very Big
Очень довольны	Very Content
Очень много	Lots
Очень недовольны	Very Discontent
Очень редких	Very Rare
Очищающее пламя	Cleansing Flame
Очки	Points
очков	points
Паладин	Paladin
Палаты чародеев	Sorcerer's Chambers
Палач	Executioner
Палаш	Broadsword
Палица	Cudgel
Паника	Panic
Панцирь Величия	Cuirass of Grandeur
Панцирь Гарроса	Garros's Chestplate
Панцирь экзекутора	Executioner's Chestplate
Панцирь	Breastplate
Паралич	Paralyzed
Парирование	Parry
Пастушьи пяди	Shepherd's Span
Патриарх	Patriarch
Патруль дроу	Drow patrol
Патрульные	Patrolmen
Патрульный дроу	Drow Patrolman
Патрульный	Sentinel
Паук	Giant Spider
Пауки	Giant Spiders
Паутина	Web
Паутинная чащоба	Spiderweb Thicket
Паучий лес	Spider Forest
Паучье гнездо	Spider Lair
Паучье яйцо	Spider's Egg
Паучья башня	Spider's Tower
Пегас	Pegasus
Пенорский лес	Penorne Wood
Первая помощь	First Aid
Первый круг	First Circle
Первый удар	First Strike
Перейти к провинции	Go to Province
Перерыв между применениями	Interval Between Uses
Перетопь	Overbog
Перехват управления	Intercept Control
Перчатки Бойни	Gloves of Slaughter
Перчатки Василиска	Basilisk Gloves
Перчатки Величия	Gloves of Grandeur
Перчатки Ветерана	Veteran's Gloves
Перчатки Владык	Lordly Gloves
Перчатки Воли	Gloves of Will
Перчатки Волшебника	Wizard's Gloves
Перчатки Воплощений	Gloves of Incarnation
Перчатки Вора	Thief's Gloves
Перчатки Гарроса	Garros's Gloves
Перчатки Героя	Hero's Gloves
Перчатки Герскила	Herskil's Gloves
Перчатки Дариола	Dariol's Gloves
Перчатки Доблести	Gloves of Valor
Перчатки дроу	Drow's Gloves
Перчатки Единорога	Unicorn Gloves
Перчатки Заклинателя	Enchanter's Gloves
Перчатки Иллюзий	Gloves of Illusion
Перчатки Командира	Commander's Gloves
Перчатки Лучника	Archer's Gloves
Перчатки Магистра	Magister's Gloves
Перчатки Мантикоры	Manticore Gloves
Перчатки Медитации	Gloves of Meditation
Перчатки Оинора	Oinor's Gloves
Перчатки Паладина	Paladin's Gloves
Перчатки Силы	Gloves of Strength
Перчатки Снайпера	Sharpshooter's Gloves
Перчатки Сокрушения	Gloves of Smashing
Перчатки Тайны	Gloves of Mystery
Песчаные горки	Sandy Mounts
Пехота	Infantry
Пехотный щит	Infantry Shield
Пивоварня	Brewery
Пикинер	Pikeman
Пип-Бой	Pip-Boy
Пирамида гноллов	Gnoll's Pyramid
Пирамида Древних	Ancient Pyramid
Питомник Тварей	Breeding Ground
Плавуновы топи	Quicksand Bogs
Пламенное Сердце	Ardent Heart
Пламенный лук	Flaming Bow
Пламя Хаоса	Inferno
План застройки	Building Plan
Пластинчатая кольчуга	Banded Mail
Плата золота	Gold Upkeep
Плата кристаллов	Gem Upkeep
Плато Циклопов	Cyclopes Plateau
Плачущие топи	Weeping Bogs
Плащ ветерана	Veteran's Cloak
Плащ Вихрей	Cloak of Whirlwinds
Плащ Дождей	Cloak of Rain
Плащ Иллюзий	Cloak of Illusion
Плащ Паладина	Paladin's Cloak
Плащ Радуги	Cloak of Rainbow
Плащ Следопыта	Ranger's Cloak
Плащ Ужаса	Cloak of Terror
Плащ Феникса	Phoenix Cloak
Плащ Чародея	Sorcerer's Mantle
Плащ	Cloak
Племена орков	Orcish Tribes
Племя кентавров	Centaur tribe
Племя	Tribe
Плетёные дебри	Wickered Thicket
Плодородная долина	Fertile Valley
Плоские холмы	Flat Hills
Побед	Victories
ПОБЕДА	VICTORY
Побережье Краба	Crab Shore
Побережье Мечей	Swordcoast
Повелители тварей	Beast Masters
Повелитель мёртвых	Lord of the Dead
Повелитель нежити	Lord of Undead
Повелитель стихий 1	Elemental Master 1
Повелитель стихий 2	Elemental Master 2
Повелитель фантомов	Lord of Phantoms
Повелитель	Lord
Повержен	Defeated
Повержено противников	Enemies Defeated
Поветрие	Pestilence
Повреждение брони	Damage Armor
Повреждение оружия	Damage Weapon
Поганая чащоба	Foul Thicket
Поганые болота	Foul Swamps
Пограничники	Border guards
Подвеска знания	Pendant of Knowledge
Подвиг Героя	Heroic Deed
Подвижность	Mobility
Подгорный мастер	Underhill Master
Подгорье	Undermount
Поднебесный храм	Celestial Temple
Подсказка	Hint
Подстрекатель	Warmonger
Подчинение	Submission
Подчинить волю	Bind Will
Подъятие баньши	Raise Banshee Spell
Подъятие вампира	Raise Vampire
Подъятие Воина Мрака	Raise Warrior of Darkness
Подъятие жнеца	Raise Reaper
Подъятие зомби	Raise Zombie
Подъятие кадавра	Raise Cadaver
Подъятие Лорда Мрака	Raise Lord of Darkness
Подъятие мумии	Raise Mummy
Подъятие призрака	Raise Ghost Spell
Подъятие скелета	Raise Skeleton
Подъятие спектра	Raise Spectre
Подъятие упыря	Raise Ghoul Spell
Подъятие хнары	Create Hnara
Пожар	Conflagration
Пожирание	Devour
Поиск сокровищ	Treasure Hunt
Показать недоступные постройки	Show Unavailable Buildings
Показать недоступные ритуалы	Show Unavailable Rituals
Показать недоступных стражей	Show Unavailable Guards
Покровы Тайны	Wraps of Mystery
Полиморф	Polymorphed
Полководец	Battlemaster
Полны ненависти	Hateful
Половинчик	Halfling
Половинчики	Halflings
Половинчик-плут	Halfling-rogue
Поломка брони	Armor Failure
Поломка оружия	Weapon Failure
Поломка	Breakdown
Полотно Древних	Ancient Fabric
Полуразрушена	Half Destroyed
Полурослики	Halflings
Полуторный меч	Bastard Sword
Получены преимущества	Benefits Obtained
Поля Туманов	Misty Fields
Поля Цикад	Cicadas Fields
Поляна единорога	Unicorn
Поляна мандрагоры	Mandrake Glade
Помешательство  	Insanity
Помутнение разума	Confusion
Понижена защита	Reduced Defense
Пополнение коллекций	Replenishing Collections
Попутный ветер  	Fair Wind
ПОРАЖЕНИЕ	DEFEAT
Поражений	Defeats
Порт	Port
Порча	Corrupted
Порченые Земли	Tainted Lands
Порядочный	Lawful
Поселок	Village
Посетовы кручи	Posset's Banks
Послание отправлено	Message Sent
Посланник Халифа	Caliph's Messenger
Посох Архимага	Archmage's Staff
Посох Вызывателя	Summoner's Staff
Посох Заклинателя	Enchanter's Staff
Посох Мага	Mage's Staff
Посох Оинора	Oinor's Staff
Посох Целителя	Healer's Staff
Постоялый двор	Inn
Построек в замке	Buildings in Stronghold
Построено	Already built
Постройка в замке	Building in Stronghold
Потань	Potane
Потери	Losses
Потрошитель	Ripper
Похищение душ	Soul Stealing
Похищение души	Soul Stealing
Похищение жизни	Life Drain
Походный плащ	Traveling Cloak
Похоронить героя	Bury Hero
Починить все предметы (T)	Repair All Items (T)
Починка	Repair
Поющие холмы	Singing Hills
Пояс Вечности	Belt of Ages
Пояс Воина	Warrior's Belt
Пояс Воплощений	Belt of Incarnation
Пояс Гарроса	Garros's Belt
Пояс Герскила	Herskil's Belt
Пояс Гиганта	Giant's Belt
Пояс Дариола	Dariol's Belt
Пояс Доблести	Belt of Valor
Пояс Друида	Druid's Belt
Пояс Левитации	Belt of Levitation
Пояс Мантикоры	Manticore Belt
Пояс Монаха	Monk's Belt
Пояс Оинора	Oinor's Belt
Пояс Тролля	Troll's Belt
Пояс экзекутора	Executioner's Belt
Пояс	Belt
Правая рука	Right Arm
Праведные земли	Righteous Lands
Практически невозможно	Almost Impossible
Пральд	Prald
Прах Смерти	Death Ashes
Пращник	Slinger
Превратить!	Convert!
Превращен	Transformed
Превращение в жреца	Cleric Transformation
Превращение в скелета	Skeleton Transformation
Превращение в чёрта	Fiend Transformation
Прегвар	Pregvar
Преграда	Obstacle
Предел населения	Population Limit
Предлагаем	Offer
Предлагает	Offers
Предложить обмен	Offer Barter
Предложить торговлю	Offer Trade
Предмет в сокровищнице	Item in Treasury
Предмет на грани поломки	Item nearly broken
Предмет сломан	Item broken
Преодоление сопротивления	Resistance Negation
Пресветлые чертоги	Shining Palace
Пригород полуросликов	Halfling's Suburb
Призван	Summoned
Призвать волка	Summon Wolf
Призвать дьявола	Summon Devil
Призвать Живой доспех	Summon Living Armor
Призвать медведя	Summon Dire Bear
Призвать Разрушителя	Summon Destroyer
Призвать рой ос	Summon Wasp Swarm
Призвать тучу ос	Summon Wasp Cloud
Призрак	Ghost
Призрачные стопы	Ethereal feet
Призрачный клинок	Spectral Blade
Призрачный лес	Ghostly Forest
Призыв Гворна	Summon Huorn
Призыв духа воды	Summon Water Elemental
Призыв духа воздуха	Summon Air Elemental
Призыв духа земли	Summon Earth Elemental
Призыв духа огня	Summon Fire Elemental
Призыв Живого доспеха	Summon Living Armor
Призыв птицелова	Summon Birdeater
Призыв скелета	Summon Skeleton
Призыв фантома	Summon Phantom
Призыв феникса	Summon Phoenix
Призыв	Summoning
Приказ	Order
Прикосновение Погибели	Touch of Doom
Принять	Accept
Природное оружие	Nature's Weapon
Прислужница	Handmaiden
Проблемы с разбойниками	Troubles with Robbers
Провести ритуал (R)	Perform Ritual (R)
Провести ритуал	Perform Ritual
Провинции	Provinces
Провинций	Provinces
Продажа воинов	Unit Sale
Продолжить	Continue
Производственный цех	Manufacturing Shop
Проклятая земля	Cursed Land
Проклятая реликвия	Cursed Relic
Проклятие	Cursed
Проклятый остров	Cursed Island
Проклятый шлем	Cursed Helmet
Прокрутка карты	Map Scrolling
Пронзающий-Плоть	Flesh-piercer
Проповедник	Preacher
Просим	Request
Просмотр особых мест	View Locations
Просмотр построенных зданий	View Constructed Buildings
Простая кольчуга	Simple Chainmail
Простая шапка	Simple Cap
Простой жезл	Simple Wand
Протазан	Partisan
Прочие преимущества	Other Benefits
Прочность камня	Hard as Stone
Прочность	Durability
Пруды Забвения	Pools of Oblivion
Прямодольные степи	Straightvale Steppes
Пси-Монолит	Psy-Monolith
Псион	Psion
Птицелов	Birdeater
Пусто	Empty
Пустынные холмы	Empty Hills
Пустынный дол	Lonesome Vale
Пустыня	Desert
Пуща Дионитов	Dionite Thicket
Пчелиные луга	Honeybee Meadows
Пылающая кираса	Flaming Chestplate
Пылающие боты	Flaming Boots
Пылающие доспехи	Flaming Armor
Пылающий амулет	Flaming Amulet
Пылающий топор	Flaming Axe
Пылающий шлем	Flaming Helmet
Пылающий щит	Flaming Shield
Пыльные равнины	Dusty Plains
Пыльца фэйри	Fairy Dust
Пыточная	Torture Chamber
Раанский лес	Raan Wood
Рабский барак	Slaver's Pen
Равнина Аш	Ush Plains
Равнина Кхор	Khor Plains
Равнина	Plains
Равнины	Plains
Рагун Балир	Ragoon Balyr
Разбойник	Brigand
Разбойники	Brigands
Разбойничья вольница	Brigand Outlaws
Разведка	Scouting
Разведчик	Scout
Развеять чары	Dispel Magic
Разграбление провинций	Province Plunder
Раздирающий-Плоть	Flesh-tearer
Размер осколка	Shard size
Разорвать союз	Break Alliance
Разрушена до основания	Completely Destroyed
Разрушена	Destroyed
Разрушение Алтаря смерти	Destroying the Altar of Death
Разрушение брони	Armor Break
Разрушение нежити	Destroy Undead
Разрушенная башня	Ruined Tower
Разрушитель уничтожен	Destroyer Demolished
Разрушитель	Destroyer
Разрушить постройку	Demolish Building
Разрывной выстрел	Explosive Shot
Разумный выбор	Reasonable Choice
Разящее копье	Piercing Spear
Раковы затоки	Crayfish Sloughs
Ралкор	Ralcor
Ранадил	Ranadil
Ранг воина	Unit Rank
Ранг	Rank
Ранения	Wounds
Рапира Фехтовальщика	Fencer's Rapier
Раскалённая почва	Scorching Ground
Расколотые земли	Shattered Lands
Расколотые холмы	Shattered Hills
Рассекатель Гарроса	Garros's Divider
Расторгнуть союз	Cancel Alliance
Расход	Expenses
Ратабар	Ratabar
Ратные степи	Battlesteppes
Реакция	Reaction
Ревдиш	Revdish
Ревнитель веры	Faith Devotee
Регалии Герскила	Herskil's Regalia
Регенерация нежити	Undead Regeneration
Регенерация	Regeneration
Редактировать послание	Edit Message
Редких	Rare
Режим просмотра особых мест	Location View Mode
Режим просмотра статистики	Statistics View Mode
Рейгор	Ragor
Рейнджер	Ranger
Рейнджерский выстрел	Ranger Shot
Реинкарнация	Reincarnation
Реликварий	Reliquarium
Ремесленники	Craftsmen Quarter
Ремесленный цех	Craft Shop
Ремонт	Fix
рен	ren
Рентонское нагорье	Renton Highland
Ресурс для обмена	Resource to Exchange
Ресурс не найден	Resource not found
Ресурсы	Resources
Ристалище	Jousting Arena
Ритуальный нож	Kris
Родина	Homeland
Родовая провинция	Demesne
Родовой замок (C)	Stronghold (C)
Рой ос	Wasp Swarm
рок	rock
Рокаброн	Rockabron
Ромуланские Кроводавы	Romulan's Bloodsquashers
Росс	Ross
Россорн	Rossorn
Ростовщик	Moneylender
Руалкар	Rualcar
Рубиновый браслет	Ruby Bracelet
Рубиновый перстень	Ruby Ring
Рудд	Rudd
Рудник Древних	Ancient Mine
Рукавицы экзекутора	Executioner's Mittens
Рулатус	Roolatus
Руна Жизни	Rune of Life
Руна Неудержимости	Rune of Thorns
Руна Проворства	Rune of Swiftness
Руна Разрушения	Rune of Destruction
Руна Точности	Rune of Accuracy
Руна Хищника	Rune of Predator
Руна Ярости	Rune of Rage
Рунная магия	Rune Magic
Рунные холмы	Runic Hills
Рунный клинок	Rune Blade
Рунный посох	Runestaff
Русалочьи камни	Mermaid Rocks
Ручная баллиста	Hand Ballista
Ручной арбалет	Hand Crossbow
Ручной топор	Hand Axe
Рынок артефактов	Artifact Market
Рынок полуросликов	Halfling Market
Рыцарские сапоги	Knight's Boots
Рыцарский доспех	Knight's Armor
Рыцарский орден	Knightly Order
Рыцарский шлем	Knight's Helmet
Рыцарский щит	Knight's Shield
Рыцарь Света	Holy Knight
Рыцарь Смерти	Black Knight
Рыцарь Тьмы	Dark Knight
Рыцарь	Knight
Рэй	Ray
Рябиново верховье	Rowan Reaches
с нейтралами	vs independents
Сабля	Saber
Сад кристаллов	Crystal Garden
Самоцветы	Gemstones
Сандалии Иллюзий	Sandals of Illusion
Сандалии	Sandals
Сапоги Василиска	Basilisk Boots
Сапоги Величия	Boots of Grandeur
Сапоги Ветерана	Veteran's Boots
Сапоги Гарроса	Garros's Boots
Сапоги Генерала	General's Boots
Сапоги Героя	Hero's Boots
Сапоги Герскила	Herskil's Boots
Сапоги Дариола	Dariol's Boots
Сапоги Доблести	Boots of Valor
Сапоги дроу	Drow's Boots
Сапоги Единорога	Unicorn Boots
Сапоги Защитника	Protector's Boots
Сапоги Камнекожи	Stone Skin Boots
Сапоги Левитации	Boots of Levitation
Сапоги Магистра	Magister's Boots
Сапоги Мантикоры	Manticore Boots
Сапоги Монолита	Monolith Boots
Сапоги Оинора	Oinor's Boots
Сапоги Паладина	Paladin's Boots
Сапоги Путешественника	Traveler's Boots
Сапоги рецидивиста	Offender's Boots
Сапоги Следопыта	Ranger's Boots
Сапоги Тайны	Boots of Mystery
Сапоги экзекутора	Executioner's Boots
Сапоги-Скороходы	Boots of Speed
Сапфировый браслет	Sapphire Bracelet
Сапфировый перстень	Sapphire Ring
Сатировы дебри	Satyr Wilderness
Сбор снарядов	Collect Ammo
Сбор трофеев	Looting
Сборщик податей	Tax Collector
Светлая долина	Clear Valley
Светлая пуща	Clear Thicket
Светлые братья	Brethren of Light
Свистящий кряж	Whistling Range
Свиток с заклятьем	Spell Scroll
Свиток с ритуалом	Ritual Scroll
Свободный Край	Free Country
Свойства набора	Set Properties
Святая обитель	Holy Cloister
Святая реликвия	Sacred Relic
Святилище Тьмы	Dark Sanctuary
Святилище	Sanctuary
Святое слово	Holy Word
Святоземье	Holyground
Святые земли	Holy Lands
Святыня Древних	Ancient Shrine
Священная секира	Sacred Poleaxe
Священное пламя	Sacred Flame
Священный лес	Sacred Forest
Священный огонь	Sacred Flame
Священный Орден	Sacred Order
Священный паук	Sacred spider
Священный щит	Sacred Shield
Сглажен	Hexed
Сглаз	Hex
Сдаться	Surrender
Сдерживание	Containment
Седая гряда	Gray Ridge
Седой лес	Grizzled Wood
Сейсмозаряд	Seismic Charge
Сек	Sek
Секира Ярости	Poleaxe of Fury
Секира	Poleaxe
секон	secon
Секрет строительства	Construction secret
Сел	Sel
Селение половинчиков	Halfling Village
Селирнойская долина	Celirnoy Valley
Сер	Ser
Серафим	Seraphim
Серая пустошь	Gray Wasteland
Сердце Бездны	Heart of Abyss
Сердце гидры	Hydra's Heart
Серебряное кольцо	Silver Ring
Серебряные стрелы	Silver Arrows
Серебряный браслет	Silver Bracelet
Серебряный рудник	Silver Mine
Серебряный щит	Silver Shield
Серный дождь 	Rain of Brimstone
Серрон	Serron
Серые Курганы	Gray Mounds
Серые утёсы	Gray Cliffs
Сетка на поле боя (G)	Battlefield Grid (G)
Сжигающий-Плоть	Flesh-incinerator
Сизая дубрава	Gray Oakwood
Сизые дебри	Graywilds
Сила воли	Willpower
Сила жизни	Life Breath
Сила заклинаний	Spellpower
Сила мага	Magic Power
Сила нейтралов	Independents
Сила призыва нежити	Undead Summoning Power
Сила призыва	Summoning Power
Сила титана	Titan's Strength
Силлиндал	Seelendal
Силлэндал	Seelendal
Силок	Snare
Сильниллир	Sylnillyre
Сильно повреждена	Seriously Damaged
Система дорог	Road Network
Сияющий браслет	Shining Bracelet
Скаковая межа	Racing Sideland
Скалистые холмы	Rocky Hills
Скалистый Брег	Rocky Shore
Скалистый остров	Rocky Island
Скелет	Skeleton
Скелетное охранение	Skeletal Guardian
Скил	Skil
Скилтон	Skilton
Скипетр посланника	Emissary's Scepter
Скируд	Scearudd
Склад	Storehouse
Склизкая бомба	Slimy Bomb
Скользкие холмы	Slimy Hills
Скорость движения воинов	Unit Movement Speed
Скорость движения	Movement Speed
Скорость	Speed
Скорпионья пустошь	Scorpio Wasteland
Скрипящие дебри	Creaking Wilds
скрыт	hidden
Скрыть недоступные постройки	Hide Unavailable Buildings
Скрыть недоступные ритуалы	Hide Unavailable Rituals
Скрыть недоступных стражей	Hide Unavailable Guards
Слабые	Weak
Слава	Glory
Сланцевы камни	Slaterocks
Слегка повреждена	Slightly Damaged
Следопыт	Pathfinder
Следующий воин (N)	Next Unit (N)
Следующий герой (N)	Next Hero (N)
Следующий	Next
Слепота	Blind
Слизень	Giant Slug
Слизни	Slugs
Слизняк	Giant Slug
Слитт	Slitt
Слияние Стихий	Elemental Junction
Слово Власти	Word of Power
Слово вождя	Chieftain Order
Слово Жизни	Word of Life
Слово Льда	Word of Ice
Слово Силы - боль	Power Word - Pain
